Date,Avg_Total_AHT,Avg_Total_ACW_Time,Avg_Total_Hold_Time,Avg_Total_SLA,Occupancy,Utilization,Avg_CSAT,Avg_ASAT,FCR_Rate
2025-03-24,1067.7074629606504,791.2065,2980.0495,6.1,0.23357446579138513,0.34753844533864503,,,
2025-03-25,1129.4643860716003,848.1490476190477,3127.73,6.142857142857143,0.2349455615077506,0.3549914371499152,,,
2025-03-26,1216.695450288196,1320.6138095238096,5328.930952380952,9.333333333333334,0.40835757154017494,0.6127708441265216,,,
2025-03-27,1215.228429824455,1221.2471428571428,4752.850476190476,8.571428571428571,0.36212216471893593,0.5466269823819698,,,
2025-03-28,1159.201907988176,1214.1531818181818,4088.1295454545457,8.681818181818182,0.3369824725923833,0.50024383584156,,,
2025-03-31,1076.809679482917,1660.7872222222222,5288.408333333334,11.11111111111111,0.4563756477701771,0.6747590118267367,,,
2025-04-01,1294.8194797220322,1644.743157894737,6124.546315789474,11.105263157894736,0.4869794460578707,0.7257366673376304,,,
2025-04-02,1084.2145692843346,2086.1438095238095,6532.685238095238,14.857142857142858,0.5311771073849904,0.7949062109032345,,,
2025-04-03,1063.8109774270256,1551.4016666666666,4470.4591666666665,10.583333333333334,0.40978384828469266,0.5973224390646978,,,
2025-04-04,1060.7351460906332,1816.8066666666668,5060.391428571429,11.619047619047619,0.4741428407838201,0.6945148331120117,,,
2025-04-07,1115.715387980072,1888.9404545454547,5905.689090909091,13.318181818181818,0.5186742540122359,0.7624094150197273,,,
2025-04-08,1065.171321549488,1788.161,5218.4025,11.8,0.4248244682310748,0.6395688168142383,,,
2025-04-09,1003.9661023495295,1724.0790000000002,4649.525,11.5,0.4082995110709985,0.6030601878732447,,,
2025-04-10,992.6596561636463,1870.259,5083.393,12.2,0.450386741436487,0.6624753825140122,,,
2025-04-11,1057.3109665182042,1652.4935,4775.085,10.95,0.43508090224974627,0.6354721601113058,,,
2025-04-14,971.3374631453215,1972.2566666666667,5292.899523809524,13.904761904761905,0.49742382403347013,0.722092619469685,,,
2025-04-15,933.9167889284278,1987.2954999999997,5087.282,13.3,0.45986655008973576,0.6750333940554134,,,
2025-04-16,1015.1362367596115,1991.4980952380952,5352.634285714286,12.952380952380953,0.47228580743097254,0.6949388679232447,,,
2025-04-17,939.5584998624732,1594.3476190476192,3709.0376190476195,10.80952380952381,0.3841133299926818,0.5497536286204898,,,
2025-04-21,961.5487408963586,163.0238775510204,374.7730612244898,1.0612244897959184,0.04016432610635827,0.056574853605813914,,,
2025-04-22,1044.9598787102443,1860.3452173913045,5705.885652173913,12.391304347826088,0.47724129878152177,0.7128892852118902,,,
2025-04-23,947.8053799018495,1643.8795238095238,4368.880476190477,11.19047619047619,0.4264763166884772,0.6249954268914707,,,
2025-04-24,932.4718594207548,2224.942222222222,5644.872222222222,14.666666666666666,0.5096970494317616,0.752079301412822,,,
2025-04-25,868.0201092436974,261.8212121212121,454.1430303030303,1.4848484848484849,0.051255396826256426,0.07315210734906663,,,
2025-04-28,1186.394527387485,1242.6232692307692,4073.7986538461537,9.134615384615385,0.34008957212713714,0.5068591525740855,,,
2025-04-29,1189.9597068010287,1252.3028,4004.1402000000003,8.64,0.33534683396034937,0.49750818793631124,,,
2025-04-30,1250.6705712979062,1213.2165384615384,4911.674230769231,9.173076923076923,0.4035844500974167,0.6013550595868267,,,
2025-05-01,1183.440420305476,1287.5059615384614,5308.951538461538,10.192307692307692,0.4351586756086512,0.6420786740848198,,,
2025-05-02,1187.2376058073294,1356.2579545454546,5234.192954545454,10.113636363636363,0.4101118302572454,0.6159630589130541,,,
2025-05-05,1162.4885711535196,1398.9919512195122,5395.593414634146,10.658536585365853,0.4431869411762733,0.6569172075514308,3.875,3.875,0.42857142857142855
2025-05-06,1042.739536366664,1547.3038095238096,5276.723333333333,11.523809523809524,0.43119812022117376,0.641849264050951,6.25,7.75,1.0
2025-05-07,1114.2492872434545,1425.8857777777778,5014.84,10.71111111111111,0.4344059363892939,0.6374428389148826,9.5,9.0,1.0
2025-05-08,1019.4564813288898,1448.2304347826089,4891.525434782609,10.630434782608695,0.4085553313953806,0.6062005209565298,4.0,7.25,0.5
2025-05-09,1110.9452769055522,1527.666875,5674.830000000001,11.020833333333334,0.44698897108947744,0.6685650533196784,7.2,9.4,0.6
2025-05-10,717.475679896574,2173.032,2244.498,11.8,0.3197997460436995,0.45535790589413894,,,
2025-05-11,870.1545331890331,1139.616,2135.582,6.8,0.23037693602827058,0.3310084908501142,,,
2025-05-12,1034.4398275356273,1642.8219565217391,4958.25804347826,12.23913043478261,0.46797541960643524,0.682230366803921,6.6,7.6,1.0
2025-05-13,1095.1794496960833,1590.3804444444443,5591.5524444444445,11.822222222222223,0.46209421082688534,0.6847864448808564,4.142857142857143,4.857142857142857,0.5
2025-05-14,1147.098303996591,1511.982142857143,5349.960476190476,11.547619047619047,0.4655967469454776,0.6832041406165856,3.3333333333333335,3.3333333333333335,0.6666666666666666
2025-05-15,1131.9976052629765,1448.28975,5029.26275,11.575,0.4498811159439858,0.6530115943753897,3.6666666666666665,5.666666666666667,0.3333333333333333
2025-05-16,968.9519827544856,1534.3044680851062,4905.8678723404255,12.27659574468085,0.4501871063485207,0.6582788626146866,4.0,7.5,1.0
2025-05-17,927.4726907308377,1794.736,3359.136,11.2,0.35654766949276695,0.512444505915779,,,
2025-05-18,746.977630952381,935.28,1440.462,7.0,0.20554051206870866,0.278683891260585,,,
