Date,Avg_Total_AHT,Avg_CSAT,Avg_Service_Rating
2025-05-27,966.601792376476,5.7555555555555555,6.866666666666666
2025-05-28,939.5574323933383,6.571428571428571,7.892857142857143
2025-05-29,986.6027345430296,5.7272727272727275,7.7272727272727275
2025-05-30,922.9743996646893,6.0,6.571428571428571
2025-05-31,718.4666483516484,9.0,10.0
2025-06-01,831.8365265512266,,
2025-06-02,927.9784400359946,6.138888888888889,7.0
2025-06-03,836.5686955738252,6.235294117647059,7.176470588235294
2025-06-04,865.3952902229815,6.3,7.166666666666667
2025-06-05,848.9305398362302,5.238095238095238,6.523809523809524
2025-06-06,903.3899624389443,7.266666666666667,8.866666666666667
2025-06-07,801.0926984126984,6.25,8.75
2025-06-08,769.8776672361253,6.666666666666667,6.666666666666667
2025-06-09,769.4300654939316,5.918918918918919,7.027027027027027
2025-06-10,869.9719494007227,6.0,7.947368421052632
2025-06-11,879.6843483874937,7.142857142857143,7.964285714285714
2025-06-12,872.9693430235543,5.416666666666667,7.25
2025-06-13,864.9657446605713,6.625,8.25
2025-06-14,868.795778943279,4.0,3.0
2025-06-15,732.827843537415,0.0,5.0
2025-06-16,915.7225812489345,5.724137931034483,7.137931034482759
2025-06-17,903.1107526624352,6.269230769230769,7.230769230769231
2025-06-18,881.5621971343661,4.653846153846154,5.461538461538462
2025-06-19,878.2725547548889,7.0,8.428571428571429
2025-06-20,902.3993178659614,7.333333333333333,9.166666666666666
2025-06-21,667.2882796730137,10.0,9.0
2025-06-22,814.2324682539682,8.0,8.0
2025-06-23,866.3812750656431,6.294117647058823,7.470588235294118
2025-06-24,955.6659096321885,7.586206896551724,8.620689655172415
2025-06-25,892.0600665944088,5.842105263157895,6.894736842105263
2025-06-26,891.4346088736705,7.5625,8.0
2025-06-27,884.4865463106847,6.1875,8.5625
2025-06-28,877.2465762350395,4.666666666666667,9.333333333333334
2025-06-29,941.0869383116883,1.0,1.0
2025-06-30,890.944032142848,6.8076923076923075,7.730769230769231
2025-07-01,880.4425741238513,5.2105263157894735,6.315789473684211
2025-07-02,834.3737747620546,5.0,6.88
2025-07-03,867.8570220255434,6.5,7.9375
2025-07-04,906.2788825889417,4.416666666666667,4.833333333333333
2025-07-05,876.7655863502621,5.5,7.0
2025-07-06,850.9347683982684,,
2025-07-07,873.2468931845714,6.5625,7.375
2025-07-08,829.7570893205105,6.277777777777778,7.722222222222222
2025-07-09,908.825577228031,6.684210526315789,8.947368421052632
2025-07-10,826.0588751236927,7.142857142857143,8.214285714285714
2025-07-11,884.4120183715105,7.571428571428571,8.142857142857142
2025-07-12,766.7211623376623,,
2025-07-13,813.1085395021645,0.0,5.0
2025-07-14,823.6958288375581,7.096774193548387,7.709677419354839
2025-07-15,838.086589924497,5.9411764705882355,6.9411764705882355
2025-07-16,880.9636178715917,6.076923076923077,6.846153846153846
2025-07-17,850.3923250945412,5.571428571428571,8.428571428571429
2025-07-18,853.5413846550379,7.0,8.2
2025-07-19,768.0232754329003,6.5,8.5
2025-07-20,1189.9313253968253,,
2025-07-21,918.7827871600242,6.8,9.3
2025-07-22,845.5397863586599,6.75,7.9375
2025-07-23,860.0819296686102,6.230769230769231,7.153846153846154
2025-07-24,838.8236705233684,5.166666666666667,6.5
2025-07-25,802.3503005666472,7.9411764705882355,9.235294117647058
2025-07-26,886.5561700680272,5.0,5.0
2025-07-27,1094.8479642857142,7.666666666666667,8.666666666666666
2025-07-28,784.9252410939781,6.190476190476191,7.523809523809524
2025-07-29,804.4155933907728,7.2272727272727275,8.136363636363637
